,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,Status
0,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,Noida,34.0,1,Joined
1,2112635,No,18,30,E2,50.0,320.0,180.0,No,No,Male,Employee Referral,8,Chennai,34.0,2,Joined
2,2112838,No,3,45,E2,42.84,42.84,0.0,No,No,Male,Agency,4,Noida,27.0,2,Joined
3,2115021,No,26,30,E2,42.84,42.84,0.0,No,No,Male,Employee Referral,4,Noida,34.0,2,Joined
4,2115125,Yes,1,120,E2,42.59,42.59,0.0,No,Yes,Male,Employee Referral,6,Noida,34.0,2,Joined
5,2117167,Yes,17,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,Noida,34.0,2,Joined
6,2119124,Yes,37,30,E2,31.58,31.58,0.0,No,No,Male,Employee Referral,7,Noida,32.0,2,Joined
7,2127572,Yes,16,0,E1,-20.0,-20.0,0.0,No,No,Female,Direct,8,Noida,34.0,3,Joined
8,2138169,No,1,30,E1,-22.22,-22.22,0.0,No,No,Female,Employee Referral,3,Gurgaon,26.0,4,Joined
9,2143362,No,6,30,E1,240.0,220.0,-5.88,No,No,Male,Employee Referral,3,Chennai,34.0,5,Joined
10,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,Noida,34.0,2,Not Joined
11,2154264,No,3,0,E2,28.21,37.18,7.0,No,No,Male,Employee Referral,7,Chennai,34.0,2,Joined
12,2156236,Yes,14,30,E2,50.0,287.5,158.33,No,No,Male,Agency,7,Noida,29.0,2,Not Joined
13,2158703,No,44,75,E2,45.45,60.0,10.0,No,No,Male,Direct,8,Noida,34.0,2,Not Joined
14,2161257,No,7,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,Noida,34.0,2,Not Joined
15,2162487,No,1,30,E3,-27.31,-27.31,0.0,No,No,Male,Direct,18,Bangalore,34.0,6,Joined
16,2166041,Yes,98,30,E2,50.0,165.36,76.91,No,No,Male,Agency,8,Noida,36.0,2,Not Joined
17,2172982,No,1,0,E2,30.0,30.0,0.0,No,No,Male,Direct,6,Noida,34.0,2,Joined
18,2173730,No,1,30,E1,-13.42,42.86,65.0,No,No,Male,Direct,1,Gurgaon,34.0,2,Joined
19,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,Noida,34.0,1,Joined
20,2175323,No,1,0,E3,42.78,42.78,0.0,No,Yes,Male,Employee Referral,8,Chennai,29.0,2,Joined
21,2184108,No,0,30,E1,37.5,37.5,0.0,No,No,Female,Employee Referral,3,Chennai,30.0,1,Joined
22,2188014,No,1,0,E2,42.86,42.86,0.0,No,No,Male,Direct,5,Noida,30.0,2,Joined
23,2191237,Yes,83,60,E2,25.0,25.0,0.0,No,No,Male,Direct,5,Noida,30.0,7,Joined
24,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,Noida,31.0,2,Joined
25,2205244,No,16,60,E1,41.18,0.0,-29.17,No,No,Male,Direct,7,Noida,31.0,7,Not Joined
26,2205496,Yes,32,120,E3,50.97,57.0,4.0,No,No,Male,Direct,13,Chennai,40.0,1,Joined
27,2207823,Yes,19,30,,42.85,42.85,0.0,No,No,Male,Direct,7,Noida,28.0,2,Joined
28,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,Chennai,34.0,4,Not Joined
29,2214217,No,4,30,E2,-2.17,-2.17,0.0,No,No,Female,Employee Referral,5,Chennai,33.0,1,Joined
30,2214446,No,38,45,E2,42.11,42.11,0.0,No,No,Male,Direct,13,Chennai,25.0,4,Joined
31,2221643,No,0,30,E3,-14.91,-14.91,0.0,No,Yes,Male,Employee Referral,15,Noida,44.0,2,Joined
32,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,Hyderabad,23.0,1,Not Joined
33,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,Chennai,29.0,2,Not Joined
34,2222936,Yes,10,60,E3,25.0,29.17,3.33,No,No,Male,Employee Referral,6,Noida,32.0,2,Joined
35,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,Bangalore,30.0,7,Joined
36,2224425,No,0,0,E3,89.58,89.58,0.0,No,No,Male,Direct,20,Bangalore,44.0,1,Joined
37,2224426,Yes,5,0,E2,28.57,28.57,0.0,Yes,Yes,Male,Employee Referral,6,Bangalore,33.0,7,Joined
38,2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,Noida,41.0,2,Joined
39,2226215,No,4,30,E1,-14.58,-14.58,0.0,No,No,Male,Direct,2,Noida,28.0,2,Joined
40,2227339,Yes,46,30,E3,22.22,260.0,194.55,No,No,Male,Employee Referral,13,Chennai,36.0,1,Not Joined
41,2227431,Yes,2,75,E3,42.85,42.85,0.0,No,Yes,Male,Employee Referral,8,Noida,30.0,2,Joined
42,2233506,No,1,90,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,6,Noida,31.0,2,Joined
43,2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,Noida,32.0,2,Joined
44,2237899,Yes,4,0,E2,42.86,42.86,0.0,No,No,Female,Employee Referral,10,Noida,34.0,2,Joined
45,2238751,Yes,54,60,E3,35.0,31.0,-2.96,No,No,Male,Employee Referral,9,Noida,34.0,2,Not Joined
46,2238809,No,33,75,E3,31.82,31.82,0.0,No,No,Male,Employee Referral,7,Noida,20.0,2,Not Joined
47,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,Noida,30.0,2,Not Joined
48,2281509,No,1,30,E2,42.86,42.86,0.0,Yes,No,Male,Employee Referral,4,Gurgaon,28.0,2,Joined
49,2282688,No,4,30,E1,233.33,150.0,-25.0,No,No,Female,Direct,1,Chennai,25.0,1,Joined
50,2282703,No,4,30,E1,233.33,150.0,-25.0,No,No,Female,Direct,1,Chennai,25.0,1,Joined
51,2283257,No,2,0,E2,49.89,49.89,0.0,No,Yes,Male,Direct,8,Chennai,34.0,2,Joined
52,2286200,Yes,5,120,E1,42.86,0.0,-30.0,No,No,Male,Direct,5,Noida,28.0,7,Not Joined
53,2286297,Yes,105,120,E1,-16.67,-16.67,0.0,No,No,Female,Direct,3,Kolkata,34.0,7,Joined
54,2286317,No,1,60,E3,25.0,20.83,-3.33,No,No,Male,Employee Referral,6,Noida,31.0,2,Joined
55,2286381,Yes,14,30,,-12.5,-12.5,0.0,No,No,Male,Direct,3,Kolkata,31.0,7,Joined
56,2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,Noida,26.0,7,Joined
